simulation,nct_id,rank,simulated_score
0,NCT00996203,1,46.04175264864115
0,NCT02744196,2,7.884142905712857
0,NCT02057250,3,0.0
1,NCT00996203,1,47.84551076861167
1,NCT02744196,2,11.534120570817155
1,NCT02057250,3,0.28529567024172464
2,NCT00996203,1,46.70428706190259
2,NCT02744196,2,10.48646737389564
2,NCT02057250,3,0.0
3,NCT00996203,1,40.85146633859836
3,NCT02744196,2,12.658990458101918
3,NCT02057250,3,0.8351323963805788
4,NCT00996203,1,47.54392620101026
4,NCT02744196,2,13.488138673083808
4,NCT02057250,3,5.125855654015696
5,NCT00996203,1,47.91159706280389
5,NCT02744196,2,14.39978948952911
5,NCT02057250,3,5.71295786170782
6,NCT00996203,1,45.290874131706374
6,NCT02744196,2,12.95089153740382
6,NCT02057250,3,2.6908229855633294
7,NCT00996203,1,43.75841937114085
7,NCT02744196,2,13.952449220970555
7,NCT02057250,3,5.884343984187741
8,NCT00996203,1,43.019444914862895
8,NCT02744196,2,9.484512264611924
8,NCT02057250,3,0.818677024234438
9,NCT00996203,1,46.071574891099395
9,NCT02744196,2,7.261373994473325
9,NCT02057250,3,0.0
10,NCT00996203,1,49.637630942360744
10,NCT02744196,2,8.55123625994289
10,NCT02057250,3,0.0
11,NCT00996203,1,48.464407124384834
11,NCT02744196,2,12.407746098056533
11,NCT02057250,3,5.029229187819151
12,NCT00996203,1,48.97689279903457
12,NCT02744196,2,16.067022561490283
12,NCT02057250,3,3.898747304317054
13,NCT00996203,1,43.61542728419455
13,NCT02744196,2,8.144742570903091
13,NCT02057250,3,1.3908023849289626
14,NCT00996203,1,43.431132606336746
14,NCT02744196,2,11.665413723465123
14,NCT02057250,3,5.724441780528285
15,NCT00996203,1,42.765921587397706
15,NCT02744196,2,15.969328875890476
15,NCT02057250,3,8.865844409952407
16,NCT00996203,1,49.59474394792231
16,NCT02744196,2,13.198838489003212
16,NCT02057250,3,0.0
17,NCT00996203,1,50.77023821201867
17,NCT02744196,2,13.929304566463383
17,NCT02057250,3,7.086438689160973
18,NCT00996203,1,40.93310121122154
18,NCT02744196,2,12.166378794026723
18,NCT02057250,3,1.1558830778707612
19,NCT00996203,1,45.07773561345548
19,NCT02744196,2,10.263986120852623
19,NCT02057250,3,0.0
20,NCT00996203,1,47.88270930012373
20,NCT02744196,2,6.5763121450478454
20,NCT02057250,3,0.0
21,NCT00996203,1,43.56052548410983
21,NCT02744196,2,13.355849867878664
21,NCT02057250,3,2.766816104425656
22,NCT00996203,1,52.58832185098877
22,NCT02744196,2,18.947059776005805
22,NCT02057250,3,9.508919162490484
23,NCT00996203,1,44.691250117420886
23,NCT02744196,2,9.240512885359244
23,NCT02057250,3,0.0
24,NCT00996203,1,50.24290991774406
24,NCT02744196,2,19.245445471206054
24,NCT02057250,3,13.72348615343305
25,NCT00996203,1,48.23826551497316
25,NCT02744196,2,9.354178920425845
25,NCT02057250,3,0.0
26,NCT00996203,1,45.18952298187537
26,NCT02744196,2,13.594762137735714
26,NCT02057250,3,2.7214583092917257
27,NCT00996203,1,44.68744394978009
27,NCT02744196,2,13.277368257799715
27,NCT02057250,3,2.014724758346499
28,NCT00996203,1,43.95110982289394
28,NCT02744196,2,9.572536264013328
28,NCT02057250,3,0.0
29,NCT00996203,1,47.95028179921281
29,NCT02744196,2,10.95806825913946
29,NCT02057250,3,0.0
30,NCT00996203,1,42.207880295175336
30,NCT02744196,2,10.365667979364847
30,NCT02057250,3,0.0
31,NCT00996203,1,47.038221111778014
31,NCT02744196,2,9.350820771218425
31,NCT02057250,3,0.0
32,NCT00996203,1,42.84513125303531
32,NCT02744196,2,13.340613472336226
32,NCT02057250,3,0.0
33,NCT00996203,1,46.788190994681415
33,NCT02744196,2,10.957784651273554
