alias,alias_type,source,confidence,notes,molecule_chembl_id
Air,source_derived,ChEMBL,75,ChEMBL synonym for CHEMBL2108889,CHEMBL2108889
"Air, medicinal",source_derived,ChEMBL,75,ChEMBL synonym for CHEMBL2108889,CHEMBL2108889
"Air, synthetic medicinal",source_derived,ChEMBL,75,ChEMBL synonym for CHEMBL2108889,CHEMBL2108889
Medical air,source_derived,ChEMBL,75,ChEMBL synonym for CHEMBL2108889,CHEMBL2108889
"AIR, MEDICAL",source_derived,ChEMBL,75,ChEMBL synonym for CHEMBL2108889,CHEMBL2108889
UNIVERSAL LIGAND,source_derived,ChEMBL,75,ChEMBL synonym for CHEMBL413893,CHEMBL413893
Dinitrogen,source_derived,ChEMBL,75,ChEMBL synonym for CHEMBL142438,CHEMBL142438
E-941,source_derived,ChEMBL,75,ChEMBL synonym for CHEMBL142438,CHEMBL142438
E941,source_derived,ChEMBL,75,ChEMBL synonym for CHEMBL142438,CHEMBL142438
INS-941,source_derived,ChEMBL,75,ChEMBL synonym for CHEMBL142438,CHEMBL142438
INS NO.941,source_derived,ChEMBL,75,ChEMBL synonym for CHEMBL142438,CHEMBL142438
Liquid nitrogen,source_derived,ChEMBL,75,ChEMBL synonym for CHEMBL142438,CHEMBL142438
Molecular nitrogen,source_derived,ChEMBL,75,ChEMBL synonym for CHEMBL142438,CHEMBL142438
Nitrogen,source_derived,ChEMBL,75,ChEMBL synonym for CHEMBL142438,CHEMBL142438
Nitrogen gas,source_derived,ChEMBL,75,ChEMBL synonym for CHEMBL142438,CHEMBL142438
"Nitrogen, liquid",source_derived,ChEMBL,75,ChEMBL synonym for CHEMBL142438,CHEMBL142438
Nitrogen (n2),source_derived,ChEMBL,75,ChEMBL synonym for CHEMBL142438,CHEMBL142438
NITROGEN,source_derived,ChEMBL,75,ChEMBL synonym for CHEMBL142438,CHEMBL142438
Carbon dioxide,source_derived,ChEMBL,75,ChEMBL synonym for CHEMBL1231871,CHEMBL1231871
Carbonic acid,source_derived,ChEMBL,75,ChEMBL synonym for CHEMBL1231871,CHEMBL1231871
Dry ice (solid form),source_derived,ChEMBL,75,ChEMBL synonym for CHEMBL1231871,CHEMBL1231871
E-290,source_derived,ChEMBL,75,ChEMBL synonym for CHEMBL1231871,CHEMBL1231871
E290,source_derived,ChEMBL,75,ChEMBL synonym for CHEMBL1231871,CHEMBL1231871
INS-290,source_derived,ChEMBL,75,ChEMBL synonym for CHEMBL1231871,CHEMBL1231871
INS NO.290,source_derived,ChEMBL,75,ChEMBL synonym for CHEMBL1231871,CHEMBL1231871
NSC-81688,source_derived,ChEMBL,75,ChEMBL synonym for CHEMBL1231871,CHEMBL1231871
CARBON DIOXIDE,source_derived,ChEMBL,75,ChEMBL synonym for CHEMBL1231871,CHEMBL1231871
Dioxygen,source_derived,ChEMBL,75,ChEMBL synonym for CHEMBL1234886,CHEMBL1234886
E-948,source_derived,ChEMBL,75,ChEMBL synonym for CHEMBL1234886,CHEMBL1234886
E948,source_derived,ChEMBL,75,ChEMBL synonym for CHEMBL1234886,CHEMBL1234886
INS-948,source_derived,ChEMBL,75,ChEMBL synonym for CHEMBL1234886,CHEMBL1234886
INS NO.948,source_derived,ChEMBL,75,ChEMBL synonym for CHEMBL1234886,CHEMBL1234886
Medicinal oxygen air liquide sante,source_derived,ChEMBL,75,ChEMBL synonym for CHEMBL1234886,CHEMBL1234886
