query,category,priority,expected_source,notes
"""32032"" ""atopic dermatitis""",asset_disease,1,literature/web/registry,Asset plus disease
"""4"" ""atopic dermatitis""",asset_disease,1,literature/web/registry,Asset plus disease
"""BAIS2018"" ""atopic dermatitis""",asset_disease,1,literature/web/registry,Asset plus disease
"""BEN 2293"" ""atopic dermatitis""",asset_disease,1,literature/web/registry,Asset plus disease
"""BEN-2293"" ""atopic dermatitis""",asset_disease,1,literature/web/registry,Asset plus disease
"""BEN2293"" ""atopic dermatitis""",asset_disease,1,literature/web/registry,Asset plus disease
"""Ben 2293"" ""atopic dermatitis""",asset_disease,1,literature/web/registry,Asset plus disease
"""Ben2293"" ""atopic dermatitis""",asset_disease,1,literature/web/registry,Asset plus disease
"""Eczema"" ""atopic dermatitis""",asset_disease,1,literature/web/registry,Asset plus disease
"""Placebo"" ""atopic dermatitis""",asset_disease,1,literature/web/registry,Asset plus disease
"""ben 2293"" ""atopic dermatitis""",asset_disease,1,literature/web/registry,Asset plus disease
"""ben2293"" ""atopic dermatitis""",asset_disease,1,literature/web/registry,Asset plus disease
"""32032"" ""BenevolentAI""",asset_sponsor,1,web/company/registry,Asset plus sponsor
"""4"" ""BenevolentAI""",asset_sponsor,1,web/company/registry,Asset plus sponsor
"""BAIS2018"" ""BenevolentAI""",asset_sponsor,1,web/company/registry,Asset plus sponsor
"""BEN 2293"" ""BenevolentAI""",asset_sponsor,1,web/company/registry,Asset plus sponsor
"""BEN-2293"" ""BenevolentAI""",asset_sponsor,1,web/company/registry,Asset plus sponsor
"""BEN2293"" ""BenevolentAI""",asset_sponsor,1,web/company/registry,Asset plus sponsor
"""Ben 2293"" ""BenevolentAI""",asset_sponsor,1,web/company/registry,Asset plus sponsor
"""Ben2293"" ""BenevolentAI""",asset_sponsor,1,web/company/registry,Asset plus sponsor
"""Eczema"" ""BenevolentAI""",asset_sponsor,1,web/company/registry,Asset plus sponsor
"""Placebo"" ""BenevolentAI""",asset_sponsor,1,web/company/registry,Asset plus sponsor
"""ben 2293"" ""BenevolentAI""",asset_sponsor,1,web/company/registry,Asset plus sponsor
"""ben2293"" ""BenevolentAI""",asset_sponsor,1,web/company/registry,Asset plus sponsor
"""32032""",exact_asset,1,all,Exact asset alias
"""4""",exact_asset,1,all,Exact asset alias
"""BAIS2018""",exact_asset,1,all,Exact asset alias
"""BEN 2293""",exact_asset,1,all,Exact asset alias
"""BEN-2293""",exact_asset,1,all,Exact asset alias
"""BEN2293""",exact_asset,1,all,Exact asset alias
"""Ben 2293""",exact_asset,1,all,Exact asset alias
"""Ben2293""",exact_asset,1,all,Exact asset alias
"""Eczema""",exact_asset,1,all,Exact asset alias
"""Placebo""",exact_asset,1,all,Exact asset alias
"""ben 2293""",exact_asset,1,all,Exact asset alias
"""ben2293""",exact_asset,1,all,Exact asset alias
"""NCT00557284""",nct,1,registry/literature/web,Known NCT ID
"""NCT03831646""",nct,1,registry/literature/web,Known NCT ID
"""NCT04737304""",nct,1,registry/literature/web,Known NCT ID
"""NCT04986384""",nct,1,registry/literature/web,Known NCT ID
"""32032"" ""conference abstract""",file_pdf,2,web/conference/company,Asset plus conference abstract
"""32032"" ""discontinued""",file_pdf,2,web/conference/company,Asset plus discontinued
"""32032"" ""investor deck""",file_pdf,2,web/conference/company,Asset plus investor deck
"""32032"" ""phase""",file_pdf,2,web/conference/company,Asset plus phase
"""32032"" ""poster""",file_pdf,2,web/conference/company,Asset plus poster
"""32032"" ""presentation""",file_pdf,2,web/conference/company,Asset plus presentation
"""32032"" ""results""",file_pdf,2,web/conference/company,Asset plus results
"""32032"" filetype:pdf",file_pdf,2,web/pdf,PDF search
"""4"" ""conference abstract""",file_pdf,2,web/conference/company,Asset plus conference abstract
"""4"" ""discontinued""",file_pdf,2,web/conference/company,Asset plus discontinued
"""4"" ""investor deck""",file_pdf,2,web/conference/company,Asset plus investor deck
"""4"" ""phase""",file_pdf,2,web/conference/company,Asset plus phase
